"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"339",627,31,"Nebraska",55,"Douglas County",7433,3,588,356,232,272,11,89,67
"340",628,31,"Nebraska",55,"Douglas County",7433,4,917,368,549,650,0,228,19
"341",629,31,"Nebraska",55,"Douglas County",7433,5,830,383,447,577,13,228,10
"342",630,31,"Nebraska",55,"Douglas County",7434,1,981,454,527,769,58,298,1
"343",631,31,"Nebraska",55,"Douglas County",7434,2,1620,869,751,869,90,265,330
"344",632,31,"Nebraska",55,"Douglas County",7434,3,1108,452,656,478,30,92,178
"345",633,31,"Nebraska",55,"Douglas County",7435,1,948,473,475,770,83,116,163
"346",634,31,"Nebraska",55,"Douglas County",7435,2,688,343,345,417,0,140,0
"347",635,31,"Nebraska",55,"Douglas County",7435,3,1314,610,704,773,82,185,192
"348",636,31,"Nebraska",55,"Douglas County",7435,4,897,365,532,505,38,252,264
"349",637,31,"Nebraska",55,"Douglas County",7436,1,1750,593,1157,850,121,163,836
"350",638,31,"Nebraska",55,"Douglas County",7436,2,979,445,534,750,10,196,16
"351",639,31,"Nebraska",55,"Douglas County",7436,3,960,368,592,643,52,139,170
"352",640,31,"Nebraska",55,"Douglas County",7436,4,979,570,409,738,16,263,112
"353",641,31,"Nebraska",55,"Douglas County",7438,1,1137,563,574,776,56,206,65
"354",642,31,"Nebraska",55,"Douglas County",7438,2,783,351,432,574,25,326,59
"355",643,31,"Nebraska",55,"Douglas County",7439,1,790,354,436,526,0,241,8
"356",644,31,"Nebraska",55,"Douglas County",7439,2,1018,600,418,736,18,364,61
"357",645,31,"Nebraska",55,"Douglas County",7439,3,1480,686,794,1070,18,413,114
"358",646,31,"Nebraska",55,"Douglas County",7439,4,867,374,493,569,14,394,0
"359",647,31,"Nebraska",55,"Douglas County",7439,5,461,179,282,343,11,151,0
"360",648,31,"Nebraska",55,"Douglas County",7440,1,1135,539,596,648,34,261,125
"361",649,31,"Nebraska",55,"Douglas County",7440,2,743,268,475,501,41,80,240
"362",650,31,"Nebraska",55,"Douglas County",7441,1,1481,705,776,994,20,626,5
"363",651,31,"Nebraska",55,"Douglas County",7441,2,1150,626,524,666,0,474,8
"364",652,31,"Nebraska",55,"Douglas County",7442,1,1112,582,530,781,3,539,20
"365",653,31,"Nebraska",55,"Douglas County",7442,2,861,425,436,651,10,412,0
"366",654,31,"Nebraska",55,"Douglas County",7442,3,1098,587,511,650,18,483,13
